date,open,high,low,close,adjclose,volume
2018-02-16,172.36,174.82,171.77,172.43,167.649,40113790
2018-02-20,172.05,174.26,171.42,171.85,167.085,33690660
2018-02-21,172.83,174.12,171.01,171.07,166.327,37378070
2018-02-22,171.8,173.95,171.71,172.5,167.718,30953760
2018-02-23,173.67,175.65,173.54,175.5,170.634,33772050
2018-02-26,176.35,179.39,176.21,178.97,174.008,37353670
2018-02-27,179.1,180.48,178.16,178.39,173.444,38885510
2018-02-28,179.26,180.615,178.05,178.12,173.182,37568080
2018-03-01,178.54,179.775,172.66,175,170.148,48706170
2018-03-02,172.8,176.3,172.45,176.21,171.325,38426060
2018-03-05,175.21,177.74,174.52,176.82,171.918,27825140
2018-03-06,177.91,178.25,176.13,176.67,171.772,23273160
2018-03-07,174.94,175.85,174.27,175.03,170.177,31686450
2018-03-08,175.48,177.12,175.07,176.94,172.034,24518850
2018-03-09,177.96,180,177.39,179.98,174.99,32130360
2018-03-12,180.29,182.39,180.21,181.72,176.682,32191070
2018-03-13,182.59,183.5,179.24,179.97,174.98,31464170
2018-03-14,180.32,180.52,177.81,178.44,173.493,29334630
2018-03-15,178.5,180.24,178.07,178.65,173.697,22676520
2018-03-16,178.65,179.12,177.62,178.02,173.084,39402115
2018-03-19,177.32,177.47,173.66,175.3,170.44,32931110
2018-03-20,175.24,176.8,174.94,175.24,170.381,19620520
2018-03-21,175.04,175.09,171.26,171.27,166.522,36387880
2018-03-22,170,172.68,168.6,168.85,164.169,41335980
2018-03-23,168.39,169.92,164.94,164.94,160.367,40984540
2018-03-26,168.07,173.1,166.44,172.77,167.98,36778560
2018-03-27,173.68,175.15,166.92,168.34,163.673,39824200
2018-03-28,167.25,170.02,165.19,166.48,161.864,41464880
2018-03-29,167.805,171.75,166.9,167.78,163.128,38116290
2018-04-02,167.88,168.94,164.47,166.68,162.059,37425640
2018-04-03,167.64,168.745,164.88,168.39,163.721,30237640
2018-04-04,164.88,172.01,164.77,171.61,166.852,34581850
2018-04-05,172.58,174.23,172.08,172.8,168.009,26933197
2018-04-06,170.97,172.48,168.2,168.38,163.712,34949690
2018-04-09,169.88,173.09,169.845,170.05,165.335,28976200
2018-04-10,173,174,171.53,173.25,168.447,28567110
2018-04-11,172.23,173.923,171.7,172.44,167.659,22401040
2018-04-12,173.41,175,173.04,174.14,169.312,22858840
2018-04-13,174.78,175.84,173.85,174.73,169.886,25100510
2018-04-16,175.03,176.19,174.83,175.82,170.945,21561320
2018-04-17,176.49,178.936,176.41,178.24,173.298,26575010
2018-04-18,177.81,178.82,176.88,177.84,172.909,20544600
2018-04-19,174.95,175.39,172.66,172.8,168.009,34693280
2018-04-20,170.595,171.218,165.43,165.72,161.125,65270950
2018-04-23,166.835,166.92,164.09,165.24,160.659,36396590
2018-04-24,165.67,166.33,161.22,162.94,158.423,33674960
2018-04-25,162.62,165.42,162.41,163.65,159.113,28331540
2018-04-26,164.12,165.73,163.37,164.22,159.667,27850370
2018-04-27,164,164.33,160.63,162.32,157.82,35617230
2018-04-30,162.13,167.26,161.84,165.26,160.678,42427424
2018-05-01,166.41,169.2,165.27,169.1,164.412,52228910
2018-05-02,175.225,177.75,173.8,176.57,171.675,66454720
2018-05-03,175.88,177.5,174.441,176.89,171.986,33944110
2018-05-04,178.25,184.25,178.17,183.83,178.733,56137230
2018-05-07,185.18,187.67,184.75,185.16,180.026,42557530
2018-05-08,184.99,186.22,183.665,186.05,180.892,28053230
2018-05-09,186.55,187.4,185.22,187.36,182.166,23141260
2018-05-10,187.74,190.37,187.65,190.04,184.771,27942430
2018-05-11,189.49,190.06,187.45,188.59,184.068,26167950
2018-05-14,189.01,189.53,187.86,188.15,183.639,20393070
2018-05-15,186.78,187.07,185.1,186.44,181.97,23639070
2018-05-16,186.07,188.46,186,188.18,183.668,19046600
2018-05-17,188,188.91,186.36,186.99,182.507,17014490
2018-05-18,187.19,187.81,186.13,186.31,181.843,18297728
2018-05-21,188,189.27,186.911,187.63,183.131,18383080
2018-05-22,188.375,188.88,186.78,187.16,182.673,15228270
2018-05-23,186.35,188.5,185.76,188.36,183.844,19966590
2018-05-24,188.77,188.84,186.21,188.15,183.639,23129400
2018-05-25,188.23,189.65,187.65,188.58,184.059,17186760
2018-05-29,187.6,188.75,186.87,187.9,183.395,22409110
2018-05-30,187.72,188,186.78,187.5,183.005,18503410
2018-05-31,187.22,188.23,186.14,186.87,182.39,27468700
2018-06-01,187.991,190.26,187.75,190.24,185.679,23377690
2018-06-04,191.635,193.42,191.35,191.83,187.231,26190620
2018-06-05,193.065,193.94,192.36,193.31,188.675,21535570
2018-06-06,193.63,194.08,191.92,193.98,189.329,20912820
2018-06-07,194.14,194.2,192.335,193.46,188.822,21329170
2018-06-08,191.17,192,189.77,191.7,187.104,26580710
2018-06-11,191.35,191.97,190.21,191.23,186.645,18069930
2018-06-12,191.385,192.611,191.15,192.28,187.67,16859020
2018-06-13,192.42,192.88,190.44,190.7,186.128,21480120
2018-06-14,191.55,191.57,190.22,190.8,186.225,21584720
2018-06-15,190.03,190.16,188.26,188.84,184.312,61438290
2018-06-18,187.88,189.22,187.2,188.74,184.215,18458410
2018-06-19,185.14,186.33,183.45,185.69,181.238,33538550
2018-06-20,186.35,187.2,185.73,186.5,182.029,20490090
2018-06-21,187.25,188.35,184.94,185.46,181.013,25649240
2018-06-22,186.12,186.15,184.7,184.92,180.486,27185130
2018-06-25,183.4,184.92,180.73,182.17,177.802,31632320
2018-06-26,182.99,186.53,182.54,184.43,180.008,24378480
2018-06-27,185.228,187.28,184.03,184.16,179.745,24987260
2018-06-28,184.1,186.21,183.8,185.5,181.053,17352380
2018-06-29,186.29,187.19,182.91,185.11,180.672,22551660
2018-07-02,183.82,187.3,183.42,187.18,182.692,17675210
2018-07-03,187.79,187.95,183.54,183.92,179.51,13954810
2018-07-05,185.26,186.41,184.28,185.4,180.955,16543880
2018-07-06,185.42,188.434,185.2,187.97,183.463,17426160
2018-07-09,189.5,190.68,189.3,190.58,186.011,19636390
2018-07-10,190.71,191.28,190.18,190.35,185.786,15801370
2018-07-11,188.5,189.78,187.61,187.88,183.375,18776390
2018-07-12,189.53,191.41,189.31,191.03,186.45,18000180
2018-07-13,191.08,191.84,190.9,191.33,186.743,12506830
2018-07-16,191.52,192.65,190.415,190.91,186.333,15009800
2018-07-17,189.75,191.87,189.2,191.45,186.86,15515000
2018-07-18,191.78,191.8,189.93,190.4,185.835,16365720
2018-07-19,189.69,192.55,189.69,191.88,187.28,20182050
2018-07-20,191.78,192.43,190.17,191.44,186.85,20670830
2018-07-23,190.68,191.96,189.56,191.61,187.016,15955820
2018-07-24,192.45,193.66,192.05,193,188.373,18680930
2018-07-25,193.06,194.85,192.43,194.82,190.149,16553500
2018-07-26,194.61,195.96,193.61,194.21,189.554,19005150
2018-07-27,194.99,195.19,190.1,190.98,186.401,23975350
2018-07-30,191.9,192.2,189.07,189.91,185.357,20912890
2018-07-31,190.3,192.14,189.34,190.29,185.728,37847260
2018-08-01,199.13,201.76,197.31,201.5,196.669,67812280
2018-08-02,200.58,208.38,200.35,207.39,202.418,62317430
2018-08-03,207.03,208.74,205.48,207.99,203.003,33408050
2018-08-06,208,209.25,207.07,209.07,204.057,25396100
2018-08-07,209.32,209.5,206.76,207.11,202.144,25525650
2018-08-08,206.05,207.81,204.52,207.25,202.281,22493750
2018-08-09,207.28,209.78,207.2,208.88,203.872,23389530
2018-08-10,207.36,209.1,206.67,207.53,203.265,24592460
2018-08-13,207.7,210.952,207.7,208.87,204.577,25864510
2018-08-14,210.155,210.56,208.26,209.75,205.439,20679270
2018-08-15,209.22,210.74,208.33,210.24,205.919,28595230
2018-08-16,211.75,213.812,211.47,213.32,208.936,27595310
2018-08-17,213.44,217.95,213.16,217.58,213.108,35034410
2018-08-20,218.1,219.18,215.11,215.46,211.032,30149410
2018-08-21,216.8,217.19,214.025,215.04,210.62,25682700
